variable,region,기울기,p_value,sig,평균 대비 편차
장단기금리차,기장군,1.2850340968117675,0.0,1,0.6482535158778678
장단기금리차,동구,-1.5797279018335795,0.0,1,-2.216508482767479
장단기금리차,부산진구,-1.2044031356324423,0.0,1,-1.8411837165663418
장단기금리차,연제구,-4.74344568145572,0.0,1,-5.38022626238962
장단기금리차,수영구,-1.7210317475804668,0.0,1,-2.3578123285143664
장단기금리차,서구,-2.1768618197328076,0.0,1,-2.813642400666707
장단기금리차,사하구,1.0602749086990855,0.0,1,0.4234943277651858
장단기금리차,북구,0.1006959371688394,6.661338147750939e-16,1,-0.5360846437650603
장단기금리차,사상구,0.9091013345899914,6.661338147750939e-16,1,0.27232075365609176
장단기금리차,영도구,1.3299188027448556,1.955509782991527e-07,1,0.693138221810956
장단기금리차,강서구,4.1532220706858105,2.8573627026684534e-06,1,3.516441489751911
